PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Gudas, Radko",ANA,RD,35,56,2,11,13,0.23,0.0419,4000000,307692.3076923077
"Gudbranson, Erik",CBJ,RD,34,37,1,2,3,0.08,0.0419,4000000,1333333.3333333333
"Harley, Thomas",DAL,LD,24,70,6,30,36,0.51,0.0419,4000000,111111.11111111111
"Hartman, Ryan",MIN,"C, RW",31,76,23,20,43,0.57,0.0419,4000000,93023.25581395348
"Klingberg, John",SJS,RD,33,56,10,17,27,0.48,0.0419,4000000,148148.14814814815
"Korpisalo, Joonas",BOS,G,32,31,0,0,0,0.0,0.0419,4000000,4000000.0
"Kovacevic, Johnathan",NJD,RD,28,34,0,8,8,0.24,0.0419,4000000,500000.0
"Leddy, Nick",SJS,"RD, LD",35,32,1,6,7,0.22,0.0419,4000000,571428.5714285715
"Mercer, Dawson",NJD,"RW, C",24,82,20,22,42,0.51,0.0419,4000000,95238.09523809524
"Niederreiter, Nino",WPG,"LW, RW",33,61,8,11,19,0.31,0.0419,4000000,210526.31578947368
"Perron, David",DET,"LW, RW",37,49,10,15,25,0.51,0.0419,4000000,160000.0
"Cuylle, Will",NYR,"LW, RW",24,82,20,18,38,0.46,0.0408,3900000,102631.57894736843
"Edmundson, Joel",LAK,LD,32,82,2,21,23,0.28,0.0403,3850000,167391.30434782608
"Frederic, Trent",EDM,"RW, LW, C",28,74,4,3,7,0.09,0.0403,3850000,550000.0
"Marchenko, Kirill",CBJ,RW,25,76,27,40,67,0.88,0.0403,3850000,57462.68656716418
"Zary, Connor",CGY,"LW, C, RW",24,74,12,13,25,0.34,0.0395,3775000,151000.0
"Brodie, TJ",CHI,"LD, RD",35,0,0,0,0,0.0,0.0393,3750000,3750000.0
"Carrier, Alexandre",MTL,RD,29,73,7,15,22,0.3,0.0393,3750000,170454.54545454544
"Domi, Max",TOR,"C, RW",31,80,12,24,36,0.45,0.0393,3750000,104166.66666666667
"Foerster, Tyson",PHI,"LW, RW",24,29,13,4,17,0.59,0.0393,3750000,220588.23529411765
"Gustavsson, Filip",MIN,G,27,50,0,2,0,0.0,0.0393,3750000,3750000.0
"Jenner, Boone",CBJ,"LW, C",32,67,13,25,38,0.57,0.0393,3750000,98684.21052631579
"Neighbours, Jake",STL,LW,24,69,15,21,36,0.52,0.0393,3750000,104166.66666666667
"Pinto, Shane",OTT,C,25,72,23,23,46,0.64,0.0393,3750000,81521.73913043478
"Iafallo, Alex",WPG,"RW, LW",32,79,13,16,29,0.37,0.0384,3666667,126436.79310344828
"Woll, Joseph",TOR,G,27,39,0,1,0,0.0,0.0384,3666667,3666667.0
"McNabb, Brayden",VGK,LD,35,63,5,7,12,0.19,0.0382,3650000,304166.6666666667
"Goodrow, Barclay",SJS,"LW, C",33,82,5,7,12,0.15,0.0381,3641667,303472.25
"Holmstrom, Simon",NYI,"RW, LW",24,79,19,22,41,0.52,0.038,3625000,88414.63414634146
"Walker, Sean",CAR,RD,31,81,9,22,31,0.38,0.0379,3615000,116612.90322580645
"Mangiapane, Andrew",CHI,"LW, RW",30,52,7,7,14,0.27,0.0377,3600000,257142.85714285713
"Duclair, Anthony",NYI,"LW, RW",30,62,12,15,27,0.44,0.0366,3500000,129629.62962962964
"Ekman-Larsson, Oliver",TOR,"RD, LD",34,78,8,31,39,0.5,0.0366,3500000,89743.58974358975
"Foegele, Warren",OTT,"LW, RW",30,47,7,2,9,0.19,0.0366,3500000,388888.8888888889
"Maatta, Olli",CGY,"LD, RD",31,22,0,1,1,0.05,0.0366,3500000,3500000.0
"Mayfield, Scott",NYI,RD,33,80,2,13,15,0.19,0.0366,3500000,233333.33333333334
"Novak, Tommy",PIT,"C, LW",29,82,16,26,42,0.51,0.0366,3500000,83333.33333333333
"Schmidt, Nate",UTA,LD,34,82,5,17,22,0.27,0.0366,3500000,159090.9090909091
"Trenin, Yakov",MIN,"LW, RW, C",29,82,6,17,23,0.28,0.0366,3500000,152173.91304347827
"Tolvanen, Eeli",SEA,"RW, LW",27,78,12,24,36,0.46,0.0364,3475000,96527.77777777778
"Maccelli, Matias",TOR,"LW, RW",25,71,14,25,39,0.55,0.0359,3425000,87820.51282051283
"Hofer, Joel",STL,G,25,46,0,0,0,0.0,0.0356,3400000,3400000.0
